timestamp,product,price,rsi,ema9,ema21,atr,atrPct,bbLower,bbUpper,trend,ofi,arbSpread,socialScore,btcPrice,btcRsi,action,confidence,outcome_5m,outcome_15m,outcome_1h
1789922975850,ZEC,1449.56000000,55.40,1446.51000000,1444.72000000,11.18000000,0.7700,1431.78000000,1456.38000000,UPTREND,0.0000,-0.0428,0.4520,81285.57,75.18,HOLD,0.5000,-0.2773,-0.1628,0.4153
1789922975883,XRP,1.41000000,79.20,1.40000000,1.39000000,0.01000000,0.5100,1.36000000,1.41000000,UPTREND,0.0000,-0.0235,0.5620,81285.57,75.18,HOLD,0.5000,-0.1560,0.0780,-0.3759
1789922976022,SOL,110.14000000,73.80,109.37000000,108.86000000,0.51000000,0.4600,107.13000000,110.08000000,UPTREND,0.0000,-0.0393,0.4680,81285.57,75.18,SELL,0.7200,-0.0999,0.0545,-0.0454
1789922976055,NEAR,4.21580000,80.30,4.05000000,3.87000000,0.09000000,2.2400,3.38000000,4.26000000,UPTREND,0.0000,0.0961,0.4360,81285.57,75.18,HOLD,0.5000,1.0484,0.3155,-2.7539
1789922976181,AVAX,11.24800000,72.20,11.15000000,10.86000000,0.26000000,2.3100,10.14000000,11.58000000,UPTREND,0.0000,0.0312,0.4460,81285.57,75.18,SELL,0.8900,0.4534,0.5690,-1.9915
1789922976537,SUI,0.90700000,86.90,0.87000000,0.85000000,0.01000000,1.4800,0.78000000,0.90000000,UPTREND,0.0000,0.0569,0.4460,81285.57,75.18,SELL,0.8700,-0.8490,1.0254,-0.8159
1789922976565,HYPE,93.08000000,77.50,92.41000000,91.82000000,0.44000000,0.4800,89.92000000,93.18000000,UPTREND,0.0000,-0.0412,0.8240,81285.57,75.18,HOLD,0.5000,-0.0107,0.0859,-0.2471
1789922976609,HBAR,0.08743000,59.70,0.09000000,0.09000000,0.00000000,2.2700,0.08000000,0.09000000,UPTREND,0.0000,-0.0322,0.4460,81285.57,75.18,HOLD,0.5000,-0.4118,0.2745,-0.5719
1789922976657,VVV,28.04890000,44.60,28.43000000,28.55000000,0.61000000,2.1900,27.70000000,29.86000000,DOWNTREND,0.0000,-0.0707,0.4460,81285.57,75.18,HOLD,0.5000,0.0588,0.1048,0.7284
1789922976689,UNI,8.76490000,57.00,8.73000000,8.70000000,0.09000000,1.0800,8.50000000,8.82000000,UPTREND,0.0000,0.0259,0.4460,81285.57,75.18,HOLD,0.5000,0.7165,0.2761,0.1974
